nome_fantasia;cnae_principal;municipio-id;estado-sigla;bairro
TN CONTABILIDADE;6920601;4308607;RS;CENTRO
MAGUSTATTOO;9609206;4308607;RS;CENTRO
MOVEIS PALUDO;3101200;4308607;RS;GARIBALDINA
FORH;4781400;4308607;RS;CENTRO
LAGUNAZ MOVEIS;3101200;4308607;RS;FERROVIARIO
ALUCAST;3102100;4308607;RS;LINHA TAMANDARE
TRANSPORTE FAST-SUL;4930202;4308607;RS;CENTRO
F.F.J LAVAGENS E PINTURAS;4330404;4308607;RS;JUVENTURDE
CAMILA PALUDO ATELIER;1412602;4308607;RS;CENTRO
FRAN CONSERTO DE MAQUINAS INDUSTRIAIS;3314799;4308607;RS;LINHA TAMANDARE
GLADEMIR COPAT;3832700;4308607;RS;VALE DOS PINHEIROS
GUARAGNI IMOVEIS;6821801;4308607;RS;CENTRO
GARCOM AUTONOMO;4723700;4308607;RS;tamandare
EMPREITEIRA TURCATTI;4399103;4308607;RS;VALE DOS PINHEIROS
SAN LORENZO TRANSPORTES;4930202;4308607;RS;CHAMPANHE
EDIFICIO BAUHAUS;8112500;4308607;RS;ALFANDEGA
ANNE MODA FASHION;4781400;4308607;RS;Centro
METALURGICA BONADIMAN;2511000;4308607;RS;SAO ROQUE
INDEPENDENCE MULTIMARCAS;4511101;4308607;RS;CAIRU
CELEBRON SEGURANCA PRIVADA;8111700;4308607;RS;SAO FRANCISCO
LEYRE CONFECCOES;1413401;4308607;RS;SAO FRANCISCO
TECNOAR SUSPENSOES;4530703;4308607;RS;SAO FRANCISCO
ABADESSA SERRA;4723700;4308607;RS;CENTRO
SERRARIA D L D SALVADORI LTDA;1610203;4308607;RS;SAO ROQUE
PC PARTICIPACOES;6462000;4308607;RS;LINHA SAO ROQUE FIGUEIRA DE MELO
CMG;4520002;4308607;RS;CENTRO
DENI DIARISTA;9700500;4308607;RS;BORGHETTO
FF AGES;1629301;4308607;RS;tres lagoas
BELEZA CHIC;9602501;4308607;RS;CENTRO
ENDRIZZI CHAPECAO E PINTURA;4520002;4308607;RS;SAO FRANCISCO
RECRIAR ESPORTE;8599699;4308607;RS;CENTRO
LA VIE PADARIA ARTESANAL;1091101;4308607;RS;GUARANI
AMBI;4930202;4308607;RS;ALFANDEGA
PAPERBOX EMBALAGENS;1733800;4308607;RS;SEBBEN
HENKEL ASSESSORIA;5819100;4308607;RS;FERROVIARIO
BARBARA MODISTA;1412601;4308607;RS;CENTRO
TRANSTELK TRANSPORTES;4930202;4308607;RS;JUVENTUDE
FOGAO CAMPEIRO CHICO;4399103;4308607;RS;CHACARAS
RUBI STORE;4781400;4308607;RS;CENTRO
THIELIPROLA;9700500;4308607;RS;VALE DOS PINHEIROS
SUPER 7;9311500;4308607;RS;TRES LAGOAS
MARCELO CORDEIRO PINTURAS;4330404;4308607;RS;Bela Vista
QOD BARBER SHOP;9602501;4308607;RS;CENTRO
LEDA AUTOPECAS;4530703;4308607;RS;SAO FRANCISCO
MARKMANN CONSTRUCOES;4399103;4308607;RS;CHACARAS
BOMBONEIRA METAIS;2542000;4308607;RS;SEBBEN
MARCIO TEIXEIRA REVESTIMENTOS;4330405;4308607;RS;SAO FRANCISCO
EMP;4321500;4308607;RS;CENTRO
ISAIAS RABELLO SOARES;8599699;4308607;RS;CENTRO
GABRIELE BARRETO;8712300;4308607;RS;CHACARAS
ESPETINHO DO VARGAS;4321500;4308607;RS;CENTRO
OG INSTALACOES;3321000;4308607;RS;INTERIOR
PADARIA E CONFEITARIA CONTE;1091101;4308607;RS;GUARAGNI
