nome_fantasia;cnae_principal;municipio-id;estado-sigla;bairro
ANIMALI - CENTRO MEDICO VETERINARIO LTDA.;7500100;4305108;RS;MADUREIRA
MERCADO IDEAL;4712100;4305108;RS;N SRA DE FATIMA
MERCADO JS;4712100;4305108;RS;SANTA FE
MERCEARIA RIGON;4712100;4305108;RS;SAO PELEGRINO
PATAS DE OURO;4789004;4305108;RS;NOSSA SENHORA DE FATIMA
SACOLAO SAO PELEGRINO;4712100;4305108;RS;SAO PELEGRINO
MUNDO ANIMAL PET SHOP LTDA.;9609208;4305108;RS;UNIVERSITARIO
SUPER ECONOMICO;4712100;4305108;RS;BELA VISTA
J C COMERCIO DE BEBIDAS;4789004;4305108;RS;D PEDRO I
MERCADOS RENUS;4711302;4305108;RS;SAO VITOR COHAB
COMERCIO DE ALIMENTOS DEZTRO LTDA;4712100;4305108;RS;SANTA CATARINA
POLETTO NUTRICAO ANIMAL;4789004;4305108;RS;SAO LUIZ
MINI MERCADO TELES;4712100;4305108;RS;PLANALTO
BHAO MIO;9609208;4305108;RS;MADUREIRA
ACOUGUE E MERCADO DO PARQUE;4712100;4305108;RS;SAO JOSE
PELUDOS & CIA;7500100;4305108;RS;RIO BRANCO
MERCADO PAZINI;4712100;4305108;RS;CIDADE NOVA
TENDA E ARTESANATO;4712100;4305108;RS;VILA SECA
SUPERMERCADO CONDOR;4711302;4305108;RS;SAO PELEGRINO
AGRO RIOSUL;4789004;4305108;RS;PLANALTO
MINI MERCADO MIRANDA;4712100;4305108;RS;CIDADE NOVA
COBASI;4789004;4305108;RS;SANVITTO
GHENO MERCADO ACOUGUE E PADARIA;4712100;4305108;RS;ANA RECH
ARMAZEM KLEIN;4712100;4305108;RS;SANTA CATARINA
REIS;4712100;4305108;RS;NOSSA SENHORA DAS GRACAS
MERCADO COSTA;4712100;4305108;RS;CIDADE NOVA
FRANGO CARIJO ATACADO E VAREJO DE FRANGOS;4712100;4305108;RS;KAYSER
CONSULTORIO VETERINARIO DRA. ALINE FORTI;7500100;4305108;RS;FORQUETA
PET SHOP CANTINHO DO MASCOTE;9609208;4305108;RS;SAO JOSE
APETITO CULINARIA PET;4789004;4305108;RS;SAMUARA
DURAN TELE TRAGO;4712100;4305108;RS;ESPLANADA
FOLIA PET;9609208;4305108;RS;DESVIO RIZZO
MS RACOES;4789004;4305108;RS;JARDELINO RAMOS
MERCEARIA BORGES;4712100;4305108;RS;PLANALTO
CLEUSA DALLE MOLLE;4789004;4305108;RS;SANTA CATARINA
ATELIE DOS PETS;9609208;4305108;RS;CENTRO
PET SHOP SANTA LUCIA;9609208;4305108;RS;SANTA CATARINA
DORIGATTI & DORIGATTI COM DE PRODUTOS ALIMENTICIOS;4711302;4305108;RS;BRANDALISE
COMERCIAL ZAFFARI LTDA;4711302;4305108;RS;CIDADE NOVA
PONTO CERTO;4712100;4305108;RS;CHARQUEADAS
SACOLAO MADUREIRA;4712100;4305108;RS;MADUREIRA
MERCADO PIETROBELLI;4712100;4305108;RS;SAO CIRO
MERCADO KELLERMANN;4712100;4305108;RS;DESVIO RIZZO
BARBER DOG;9609208;4305108;RS;EXPOSICAO
