nome_fantasia;cnae_principal;municipio-id;estado-sigla;bairro
MOTORBIKE;4763603;4302105;RS;LICORSUL
NINA AVER;9313100;4302105;RS;BOTAFOGO
GLOBIN BUSINESS INNOVATION NETWORKS;8599604;4302105;RS;BORGO
IMEDIATA PALESTRAS, TREINAMENTOS E COMUNICACAO;8599604;4302105;RS;SAO VALENTIN
ATACADO SSLC;4639701;4302105;RS;LICORSUL
OFICINA ACUSTICA;4520003;4302105;RS;SAO FRANCISCO
ZORTEA ADVOGADOS;6911701;4302105;RS;CENTRO
XANGAI COZINHA CHINESA;5611201;4302105;RS;SAO BENTO
AUTO POSTO SAO PAULO;4731800;4302105;RS;BORGO
EVERTON PASTORE ESTETICA EM RESULTADOS AVANCADOS;9602502;4302105;RS;MARIA GORETTI
MISSISSIPE RESTAURANTE;5611201;4302105;RS;UNIVERSITARIO
SONIANE PRESENTES E DECORACOES;4789099;4302105;RS;BOTAFOGO
ASSOCIACAO SANTA BARBARA;9430800;4302105;RS;BONSUCESSO
TRATTORIA DO SABOR RESTAURANTE;5611201;4302105;RS;CENTRO
AGENCIA BENTO GONCALVES RS;6423900;4302105;RS;CENTRO
FERRAGEM DECONTO;4744001;4302105;RS;JARDIM GLORIA
ROTA EQUIPAMENTOS ELETRONICOS;4753900;4302105;RS;PROGRESSO
C VIGOLO;4399103;4302105;RS;UNIVERSITARIO
CF ARTES MARCIAIS;4763602;4302105;RS;CENTRO
NORTE SUL EMPREENDIMENTOS;6810201;4302105;RS;SAO BENTO
MONTE THREE;4292801;4302105;RS;CONCEICAO
TROVATO;4789001;4302105;RS;IMIGRANTE
GRAZY;9602501;4302105;RS;HUMAITA
M.N. AGNOLETTO;4330402;4302105;RS;BARRACAO
C & C VEICULOS;4512902;4302105;RS;SAO FRANCISCO
ASSOCIACAO ARTISTAS NO PALCO;9001901;4302105;RS;CENTRO
EMBALAMAIS DO BRASIL;4663000;4302105;RS;LICORSUL
MADAME CORUJA DOCES & AFINS;1091102;4302105;RS;SAO PEDRO
IGREJA PENTECOSTAL MENSAGEM DOS CEUS;9491000;4302105;RS;POMAROSA
MT DUO INTERIORES;7410202;4302105;RS;CIDADE ALTA
BRUNETTO ADMINISTRACAO DE CONDOMINIOS;6822600;4302105;RS;CENTRO
MEDICAL BENTO;8630501;4302105;RS;CENTRO
CENTRO DE BELEZA BETY;4781400;4302105;RS;LICORSUL
ACQUA CENTER MATERIAIS HIDRAULICOS E ACABAMENTOS;4744003;4302105;RS;BORGO
ELB IDIOMAS;8593700;4302105;RS;CENTRO
AGUIA COBRANCAS;8291100;4302105;RS;SANTA HELENA IV
GIGACELL INFORMATICA E SMARTPHONE;9511800;4302105;RS;CENTRO
ASSEVALE;9499500;4302105;RS;TUIUTY
JAM VARIEDADES;4755503;4302105;RS;PROGRESSO
ODINEXT;4330402;4302105;RS;PROGRESSO
MUNDINS ELETRONICA;3314710;4302105;RS;SAO ROQUE
EXOTIC DRINK'S BAR;5611201;4302105;RS;SANTA RITA
MOVIE ARTE CINEMAS;5914600;4302105;RS;SAO BENTO
SG MOVEIS;3101200;4302105;RS;SAO ROQUE
NB NOTICIAS;6319400;4302105;RS;HUMAITA
CONDOMINIO CENTERVILLE;8112500;4302105;RS;CENTRO
MARILIA CABELOS;9602501;4302105;RS;CIDADE ALTA
JAIR TRANSPORTES LTDA;4930201;4302105;RS;BORGO
MARI & CRIS;9602501;4302105;RS;SAO ROQUE
AMPVA;0322107;4302105;RS;LICORSUL
ART MOBILI MOVEIS SOB MEDIDA;4754701;4302105;RS;FARIA LEMOS
BRILUX CONSTRUTORA;4120400;4302105;RS;BORGO
BENFATTO SERVICOS DE ALIMENTACAO;5620101;4302105;RS;BOTAFOGO
TECNODANCE SONORIZACOES E EVENTOS;9001906;4302105;RS;SAO BENTO
HYGIA SISTEMAS DE HIGIENE;4789005;4302105;RS;SO FRANCISCO
CM;2539001;4302105;RS;SAO VALENTIN
RESIDENCIAL MEDITERRANEO;8112500;4302105;RS;HUMAITA
JKB ADVOGADOS ASSOCIADOS;6911701;4302105;RS;CENTRO
SANDRA TONINI;9602501;4302105;RS;SANTO ANTAO
ROBERTO HANSEN ME;4924800;4302105;RS;CENTRO
VITA CRED;8219999;4302105;RS;CENTRO
DANIELA BORTOLOTTO;9602501;4302105;RS;OURO VERDE
EDIFICIO VILLA DI VERONA;4110700;4302105;RS;PROGRESSO
STUDIO SPAZZIN CARRER;9602502;4302105;RS;SAO FRANCISCO
MGF INCORPORADORA;4110700;4302105;RS;PROGRESSO
POLACO PNEUS;4530703;4302105;RS;JUVENTUDE DA ENOLOGIA
FAPSBENTO;8430200;4302105;RS;CENTRO
DACRUZ PRODUCOES;8230001;4302105;RS;CAMINHO DA EULALIA
D&C SUPLEMENTOS;4729699;4302105;RS;LICORSUL
BASEFFORT - COMERCIO DE MATERIAIS PARA CONSTRUCAO;4744099;4302105;RS;PROGRESSO
O. STRADA FUNILARIA ME;2532201;4302105;RS;SAO ROQUE
PELLEGRINI IMOVEIS;4110700;4302105;RS;CIDADE ALTA
